,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
4628,0,ADULT,110,44,25 to 34 years,X,Main Library,July,2014.0,z,email,True,2003,False,9.0
4629,0,ADULT,98,55,35 to 44 years,G4,Glen Park,March,2015.0,z,email,True,2005,False,8.0
4631,0,ADULT,131,56,35 to 44 years,E7,Eureka Valley/Harvey Milk Memorial,April,2016.0,z,email,True,2003,False,8.0
4633,0,ADULT,10,4,45 to 54 years,A5,Anza,January,2015.0,z,email,True,2012,False,1.0
4635,0,ADULT,1,0,25 to 34 years,X,Main Library,September,2015.0,z,email,True,2015,False,6.0
4636,0,ADULT,8,1,60 to 64 years,X,Main Library,November,2014.0,p,phone,False,2005,False,10.0
4637,0,ADULT,7,0,35 to 44 years,M8,Mission Bay,July,2016.0,z,email,True,2014,False,6.0
4639,0,ADULT,3,4,20 to 24 years,X,Main Library,January,2016.0,z,email,True,2014,False,9.0
4640,0,ADULT,6,21,45 to 54 years,S7,Sunset,June,2016.0,z,email,True,2014,False,4.0
4641,0,ADULT,1,0,45 to 54 years,W4,Western Addition,May,2015.0,z,email,True,2014,False,7.0
4645,0,ADULT,5,4,45 to 54 years,M8,Mission Bay,June,2014.0,z,email,True,2013,False,6.0
4646,0,ADULT,36,2,45 to 54 years,X,Main Library,September,2015.0,p,phone,False,2015,False,11.0
4650,0,ADULT,20,0,35 to 44 years,M8,Mission Bay,December,2015.0,z,email,True,2009,False,6.0
4652,0,ADULT,1,1,25 to 34 years,W4,Western Addition,June,2014.0,z,email,True,2014,False,2.0
4653,0,ADULT,20,0,45 to 54 years,N4,Noe Valley/Sally Brunn,April,2005.0,z,email,True,2003,False,8.0
4655,0,ADULT,84,21,35 to 44 years,M4,Merced,March,2015.0,z,email,True,2003,False,4.0
4656,0,ADULT,1,0,25 to 34 years,R3,Richmond,March,2014.0,z,email,True,2014,False,5.0
4657,0,ADULT,84,20,45 to 54 years,N4,Noe Valley/Sally Brunn,July,2016.0,z,email,True,2003,False,8.0
4658,0,ADULT,133,12,25 to 34 years,E7,Eureka Valley/Harvey Milk Memorial,March,2014.0,z,email,True,2012,False,5.0
4659,0,ADULT,549,502,35 to 44 years,X,Main Library,July,2016.0,z,email,True,2008,False,5.0
4660,0,ADULT,5,0,35 to 44 years,X,Main Library,April,2013.0,z,email,True,2013,False,4.0
4662,0,ADULT,37,5,45 to 54 years,M2,Marina,June,2016.0,z,email,True,2007,False,2.0
4664,0,ADULT,2276,2199,45 to 54 years,C2,Chinatown,April,2015.0,z,email,True,2003,False,4.0
4665,0,ADULT,59,0,20 to 24 years,O2,Ocean View,April,2015.0,z,email,True,2011,False,11.0
4667,0,ADULT,36,4,35 to 44 years,R3,Richmond,May,2016.0,z,email,True,2003,False,1.0
4669,0,ADULT,14,0,25 to 34 years,X,Main Library,March,2015.0,p,phone,False,2009,False,5.0
